name, google_scholar
闻一多,2990
徐志摩,1960
余光中,1750
海子,1590
潞潞,1570
艾青,1531
艾,1300
臧克家,1130
郭沫若,1040
黄玲君,863
顾城,828
戴望舒,791
于坚,641
北岛,611
穆旦,609
李金发,542
汪国真,499
柏桦,498
朵渔,496
冯至,465
鲁迅,462
雷平阳,439
公刘,438
卞之琳,437
蓝蓝,436
流沙河,425
郭小川,391
何其芳,390
昌耀,369
洛夫,348
马永波,343
许强,329
王立世,315
杨键,314
吴素贞,313
白桦,312
津渡,311
陈先发,310
郑愁予,304
朱湘,302
王家新,302
王小妮,297
海城,297
王西平,294
王明韵,292
食指,291
马丁,280
西川,276
李潮蕴,273
思乡,268
阿里,266
余秀华,263
田间,259
汪静之,255
曹谁,248
光未然,246
王单单,239
简单,239
靳晓静,230
翟永明,227
赵俊,225
阿尔,224
冰心,217
刘川,216
韩东,210
桑克,209
胡桑,208
周伦佑,207
沈苇,207
张枣,204
韩少君,203
胡适,202
詹澈,192
唐力,187
宋雨,184
陈衍强,179
席慕蓉,177
郑敏,177
张执浩,169
多多,168
王自亮,167
卢山,164
金辉,160
姜庆乙,156
朱自清,153
邵燕祥,153
刘章,151
铁马,147
羊,147
大卫,145
牛汉,145
杨牧,143
徐迟,143
杨炼,141
林徽因,140
江非,138
绿原,136
谷禾,135
李瑛,134
臧棣,133
离开,133
安琪,131
飞廉,131
黄沙子,129
慕白,128
郑小琼,126
杜涯,123
郁葱,121
卢游,118
庞培,115
莱明,115
梁宗岱,115
子梵梅,114
陈敬容,113
淡淡,112
姜馨贺,112
姜二嫚,111
刘春,111
马非,111
张永伟,108
梁晓明,105
桥,104
张敏华,103
鲁若迪基,102
萧萧,102
田园,101
周梦蝶,101
白玛,100
李三林,100
南音,100
一度,99
东荡子,98
纪弦,98
欧阳江河,98
刘半农,97
熊曼,97
汤养宗,96
胡风,95
康雪,93
林庚,91
宋晓杰,90
涂拥,89
江汀,89
骆一禾,87
杜绿绿,86
梁小斌,86
林雪,86
邵洵美,85
辛笛,83
邱华栋,83
笨水,82
非马,82
雪鹰,81
双鱼,81
叶延滨,80
沈从文,78
三子,78
李南,78
芒克,77
小海,75
施施然,75
宇向,75
苏历铭,74
阿毛,74
谭五昌,73
海男,72
西渡,72
鲁藜,72
孔孚,72
曾蒙,71
胡弦,71
非亚,70
雪马,70
施茂盛,69
麦豆,69
黄国彬,69
林莽,69
夏宇,68
秦巴子,67
李杜,67
田禾,67
叶维廉,67
车前子,67
外外,67
唐不遇,66
徐钺,66
陈东东,65
娜夜,64
剑男,64
袁可嘉,64
刘大白,64
李亚伟,64
陈梦家,63
朱庆和,63
森子,63
龚璇,62
默默,61
灰娃,61
江河,61
米绿意,61
南人,61
非馬,61
阿垅,60
傅天琳,60
于赓虞,60
杨克,60
王佐良,60
西蒙,60
张默,60
罗门,59
蒋浩,59
梁平,58
田晓隐,58
一行,58
李少君,57
陈超,57
车延高,57
孙大雨,57
金波,57
阿库乌雾,57
刘立杆,56
王独清,56
陈家坪,56
闻捷,55
康白情,55
杜运燮,55
宗白华,54
张志民,54
朱朱,54
屠岸,54
蒋志武,54
纳兰,54
阿翔,54
王夫刚,53
张新泉,53
杨唤,53
严力,53
徐玉诺,52
戴潍娜,52
唐果,52
田原,51
高兴,51
非鱼,51
李轻松,50
周鱼,50
陈黎,50
霍俊明,50
潘维,50
余真,49
先秦,49
刘年,49
吴兴华,49
赵思运,49
吕布布,48
赵丽宏,48
覃子豪,48
俞平伯,48
张曙光,48
聂权,48
李小洛,48
严彬,48
青小衣,47
冯雪峰,45
古马,45
方李靖,45
蓉子,44
老井,44
陈育虹,44
曹僧,44
姚风,44
石头,44
李广田,43
长征,43
杨黎,43
树才,43
杨光,42
荣荣,42
林珊,42
向明,42
金素月,42
苏金伞,41
巫昂,41
许立志,41
伊蕾,41
余怒,40
朱英诞,40
戈麦,40
肖水,40
舒丹丹,40
邹荻帆,40
李元胜,39
蒋立波,39
格式,39
柳永,39
欧阳昱,39
木心,39
康苏埃拉,38
西西,38
朱剑,37
沈尹默,37
周作人,37
麦芒,36
徐江,36
何小竹,36
宋琳,36
孙文波,36
赵野,36
阿卓务林,35
甜河,35
雨田,35
王久辛,35
侯马,34
徐敬亚,34
张香华,34
北野,33
邢昊,33
李小雨,33
应修人,31
莫非,31
徐晓,31
李森,30
简政珍,30
白萩,30
陈千武,30
吴小虫,30
吕德安,30
冬箫,30
十一,30
横,29
韩玉光,29
北村,29
林亨泰,29
唐湜,29
阿信,29
楼河,29
陆忆敏,28
周公度,28
乌玛,28
赵小北,28
魔头贝贝,28
潘洗尘,28
阿斐,28
哑石,28
叶舟,28
祥子,28
白灵,28
亚楠,27
盛兴,27
崔岩,27
刘湛秋,27
蔡丽双,27
黄梵,27
谢湘南,27
江一郎,27
龚学敏,27
沈奇,27
陈律,27
北方,26
高专,26
林焕彰,26
李见心,26
白鹤林,25
晴朗李寒,25
叮咚,025
沈方,25
赵四,25
李琬,25
远洋,24
简明,24
廖伟棠,24
马莉,24
燕子,24
黎衡,24
东篱,24
卢卫平,23
广子,23
黄金明,23
冰水,23
李浩,23
莫卧儿,23
金铃子,23
任洪渊,23
罗青,22
苏画天,22
扶桑,22
周瑟瑟,22
凸凹,22
孙磊,22
冯亦同,22
飞飞,21
洪烛,21
包临轩,21
李魁贤,21
梁积林,21
余丛,21
王寅,21
张二棍,21
王润华,21
黄灿然,21
郭路生,21
伊路,20
张联,20
子川,20
查干,20
管管,20
无名氏,20
张作梗,20
唐欣,20
牛庆国,20
罗智成,19
蔌弦,19
田湘,19
代薇,19
胡茗茗,18
李以亮,18
黄斌,18
寒烟,18
刘伟雄,18
雅克,18
灯灯,18
苏浅,18
雷霆,18
殷龙龙,18
秦三澍,18
淡莹,18
陈克华,17
哨兵,17
邰筐,17
乌青,17
南星,17
人邻,17
杨子,17
谢宜兴,17
小雅,17
叶圣陶,17
梁尔源,17
张烨,17
梁雪波,17
王统照,17
木叶,17
郁雯,16
蓝野,16
陈义芝,16
雪野,16
谢克强,16
小引,16
池凌云,16
林燿德,16
马拉,16
余幼幼,16
阿麦,16
傅天虹,16
阎安,16
曲有源,16
梁实秋,16
孙谦,16
庞余亮,15
宋尾,15
熊焱,15
绿蒂,15
李笠,15
王妃,15
花语,15
梅尔,15
叶丽隽,15
陈秀喜,15
黄翔,15
杭约赫,15
李成恩,14
谭延桐,14
白连春,14
小布头,14
关雎,14
萧开愚,14
商略,14
陈大为,14
宋晓贤,14
张洪波,14
冷冰,14
叶玉琳,14
清平,14
桂兴华,14
王林燕,13
浪子,13
沙克,13
苏黎,13
刘梦苇,13
郭金牛,13
谷雨,13
周庆荣,13
马拉梅,13
轩辕轼轲,13
尹丽川,13
万夏,13
岩上,13
黍不语,13
张错,13
朱文,13
黑大春,12
章德益,12
蔡天新,12
鲁西西,12
高平,12
世宾,12
沙马,12
叶匡政,12
王敖,12
隐地,12
林子,12
柯健君,12
韩文戈,12
鸿鸿,12
马铃薯兄弟,12
李敏勇,12
焦桐,12
君儿,11
耿翔,11
雪女,11
陈鸿森,11
白沙,11
沉河,11
谷未黄,11
钟鸣,11
流水,11
江平,11
郭新民,11
空白,11
亦非,11
花间,11
伊夫,11
春树,11
蒋捷,11
弥赛亚,10
张维,10
王学芯,10
尹玲,10
祁人,10
李天靖,10
施蛰存,10
刘涛,10
零雨,10
邵风华,10
中岛,10
汪启疆,10
耿占春,10
渡也,10
李建春,10
伤水,10
若水,10
李伟,10
黄葵,10
黄海,10
范小雅,10
方令孺,10
蒋蓝,10
姚振函,10
吕约,10
贾薇,10
南渡,9
梅新,9
柯平,9
马骅,9
罗任玲,9
张尹,9
杨泽,9
王若冰,9
HD,9
九歌,9
李满强,9
李之平,9
孟醒石,9
杨邪,9
莫渝,9
老巢,9
宫白云,9
林馥娜,9
北城,9
阿西,9
张之,9
牛放,9
牛慧祥,9
杨晓民,9
光体,9
梦亦非,9
伊万,9
魏克,9
王东东,9
汪剑钊,9
胡续冬,9
马骥文,9
砂丁,8
辛郁,8
梅依然,8
王爱红,8
晓音,8
阿鲁,8
哑默,8
古月,8
岩鹰,8
汪抒,8
刘阶耳,8
九月,8
苏省,8
李拜天,8
孟浪,8
长岛,8
朱零,8
林泠,8
蒋明,8
黄永玉,8
江汉,8
方玮德,8
谭克修,8
十品,8
杨庆祥,8
唐月,8
廖亦武,8
阿坚,8
远村,8
一回,8
南野,8
杨拓,8
扎西才让,8
蒙塔莱,8
圻子,8
韩宗宝,8
华万里,8
胡宽,8
莫小邪,8
张耳,8
李小建,8
许悔之,8
叶丹,8
纪宇,7
龚学明,7
马策,7
海啸,7
李白凤,7
莫雷,7
丁燕,7
牧斯,7
巫小茶,7
唐丹鸿,7
饶孟侃,7
江堤,7
林忠成,7
刘克襄,7
冷盈袖,7
石光华,7
仲诗文,7
章凯,7
雷子,7
陈美玲,7
洛盏,7
吴投文,7
胡刚毅,7
顾北,7
eL,7
丁当,7
金所军,7
李德武,7
高作苦,7
苇鸣,7
凌翼,7
马文秀,7
祭祀,7
瓦兰,7
陈星光,6
碧果,6
冯唐,6
江离,6
张玉明,6
疼痛,6
金山,6
施善继,6
刘泽球,6
庞清明,6
杜十三,6
阿九,6
旺秀才丹,6
韩博,6
刘立云,6
北塔,6
白兰,6
蓝角,6
冬青,6
叶美,6
唐亚平,6
紫薇,6
韦白,6
金克木,6
马兰,6
杨森,6
陶里,6
简宁,6
李海洲,6
臧海英,6
成果,6
龚盖雄,6
李昌鹏,6
陈汐,6
林冷,6
魏风华,6
阿芒,6
曹疏影,6
小城,6
徐南鹏,6
瑜,6
西原,5
符力,5
罗西,5
钟玲,5
李浔,5
冰马,5
徐芜城,5
吕叶,5
夏子,5
管一,5
时光,5
李磊,5
高鹏程,5
张进步,5
独化,5
黄纪云,5
师力斌,5
向以鲜,5
起子,5
陈宗华,5
罗英,5
袁伟,5
颜峻,5
王太文,5
摩西,5
须文蔚,5
